PKDATAROWID,FLGEXSDE,FLGEXKEL,FLGEXAUC,FLGEXST,NDOSEI,PKPCOM,MIDPNTN,MIDPNTA,MIDPNTNU,MIDPNTAU,RATEN,RATEA,RATENU,RATEAU
33239543,0,1,0,0,1,,,,,,,,,
33239545,0,1,0,0,1,,,,,,,,,
33239546,0,1,0,0,1,,,,,,,,,
33239547,0,1,0,0,1,,,,,,,,,
33239548,0,1,0,0,1,,,,,,,,,
33239549,0,1,0,0,1,,,,,,,,,
33239550,0,1,0,0,1,,,,,,,,,
33239551,0,0,0,0,1,,,,,,,,,
33239552,0,0,0,0,1,,,,,,,,,
33239553,0,0,0,0,1,,,,,,,,,
33239554,0,0,0,0,1,,,,,,,,,
33239555,0,0,0,0,1,,,,,,,,,
33239556,0,0,0,0,1,,,,,,,,,
33238979,0,1,0,0,1,,,,,,,,,
33238980,0,1,0,0,1,,,,,,,,,
33238981,0,1,0,0,1,,,,,,,,,
33238983,0,1,0,0,1,,,,,,,,,
33238985,0,1,0,0,1,,,,,,,,,
33238987,0,1,0,0,1,,,,,,,,,
33238988,0,1,0,0,1,,,,,,,,,
33238989,0,1,0,0,1,,,,,,,,,
33238990,0,1,0,0,1,,,,,,,,,
33238991,0,1,0,0,1,,,,,,,,,
33238992,0,1,0,0,1,,,,,,,,,
33238993,0,1,0,0,1,,,,,,,,,
33238994,0,1,0,0,1,,,,,,,,,
33238995,0,0,0,0,1,,,,,,,,,
33238996,0,0,0,0,1,,,,,,,,,
33238997,0,0,0,0,1,,,,,,,,,
33238998,0,0,0,0,1,,,,,,,,,
33239119,0,1,0,0,1,,,,,,,,,
33239120,0,1,0,0,1,,,,,,,,,
33239121,0,1,0,0,1,,,,,,,,,
33239123,0,1,0,0,1,,,,,,,,,
33239125,0,1,0,0,1,,,,,,,,,
33239127,0,1,0,0,1,,,,,,,,,
33239128,0,1,0,0,1,,,,,,,,,
33239129,0,1,0,0,1,,,,,,,,,
33239130,0,1,0,0,1,,,,,,,,,
33239131,0,1,0,0,1,,,,,,,,,
33239132,0,1,0,0,1,,,,,,,,,
33239133,0,1,0,0,1,,,,,,,,,
33239134,0,0,0,0,1,,,,,,,,,
33239135,0,0,0,0,1,,,,,,,,,
33239136,0,0,0,0,1,,,,,,,,,
33239137,0,0,0,0,1,,,,,,,,,
33239138,0,0,0,0,1,,,,,,,,,
33238919,0,1,0,0,1,,,,,,,,,
33238920,0,1,0,0,1,,,,,,,,,
33238921,0,1,0,0,1,,,,,,,,,
33238923,0,1,0,0,1,,,,,,,,,
33238925,0,1,0,0,1,,,,,,,,,
33238927,0,1,0,0,1,,,,,,,,,
33238928,0,1,0,0,1,,,,,,,,,
33238929,0,1,0,0,1,,,,,,,,,
33238930,0,1,0,0,1,,,,,,,,,
33238931,0,1,0,0,1,,,,,,,,,
33238932,0,1,0,0,1,,,,,,,,,
33238933,0,1,0,0,1,,,,,,,,,
33238934,0,1,0,0,1,,,,,,,,,
33238935,0,0,0,0,1,,,,,,,,,
33238936,0,0,0,0,1,,,,,,,,,
33238937,0,0,0,0,1,,,,,,,,,
33238938,0,1,0,0,1,,,,,,,,,
33238759,0,1,0,0,1,,,,,,,,,
33238760,0,1,0,0,1,,,,,,,,,
33238761,0,1,0,0,1,,,,,,,,,
33238763,0,1,0,0,1,,,,,,,,,
33238765,0,1,0,0,1,,,,,,,,,
33238767,0,1,0,0,1,,,,,,,,,
33238768,0,1,0,0,1,,,,,,,,,
33238769,0,1,0,0,1,,,,,,,,,
33238770,0,1,0,0,1,,,,,,,,,
33238771,0,1,0,0,1,,,,,,,,,
33238772,0,0,0,0,1,,,,,,,,,
33238773,0,0,0,0,1,,,,,,,,,
33238774,0,0,0,0,1,,,,,,,,,
33238775,0,0,0,0,1,,,,,,,,,
33238776,0,0,0,0,1,,,,,,,,,
33238777,0,0,0,0,1,,,,,,,,,
33238778,0,0,0,0,1,,,,,,,,,
33238633,0,1,0,0,1,,,,,,,,,
33238635,0,1,0,0,1,,,,,,,,,
33238636,0,1,0,0,1,,,,,,,,,
